#    L    TT             EE             BB             TE             PP             TP             EP          
    82   0.217618E+04   0.526052E+00   0.000000E+00  -0.125275E+02   0.119313E-06   0.485577E-03  -0.935005E-06
    83   0.220385E+04   0.541906E+00   0.000000E+00  -0.131294E+02   0.118637E-06   0.478607E-03  -0.101874E-05
    84   0.223178E+04   0.557845E+00   0.000000E+00  -0.137398E+02   0.117962E-06   0.471778E-03  -0.109363E-05
    85   0.225995E+04   0.573856E+00   0.000000E+00  -0.143584E+02   0.117289E-06   0.465100E-03  -0.115535E-05
    86   0.228836E+04   0.589926E+00   0.000000E+00  -0.149846E+02   0.116617E-06   0.458575E-03  -0.120081E-05
    87   0.231697E+04   0.606042E+00   0.000000E+00  -0.156178E+02   0.115947E-06   0.452204E-03  -0.123180E-05
    88   0.234578E+04   0.622189E+00   0.000000E+00  -0.162575E+02   0.115279E-06   0.445982E-03  -0.125137E-05
    89   0.237478E+04   0.638355E+00   0.000000E+00  -0.169032E+02   0.114614E-06   0.439907E-03  -0.126255E-05
    90   0.240399E+04   0.654522E+00   0.000000E+00  -0.175545E+02   0.113950E-06   0.433975E-03  -0.126835E-05
    91   0.243342E+04   0.670674E+00   0.000000E+00  -0.182111E+02   0.113289E-06   0.428183E-03  -0.127134E-05
    92   0.246307E+04   0.686797E+00   0.000000E+00  -0.188725E+02   0.112631E-06   0.422527E-03  -0.127218E-05
    93   0.249296E+04   0.702876E+00   0.000000E+00  -0.195383E+02   0.111975E-06   0.417004E-03  -0.127105E-05
    94   0.252307E+04   0.718896E+00   0.000000E+00  -0.202082E+02   0.111322E-06   0.411610E-03  -0.126814E-05
    95   0.255341E+04   0.734842E+00   0.000000E+00  -0.208817E+02   0.110672E-06   0.406342E-03  -0.126364E-05
    96   0.258400E+04   0.750699E+00   0.000000E+00  -0.215583E+02   0.110024E-06   0.401196E-03  -0.125775E-05
    97   0.261481E+04   0.766451E+00   0.000000E+00  -0.222375E+02   0.109379E-06   0.396168E-03  -0.125064E-05
    98   0.264586E+04   0.782082E+00   0.000000E+00  -0.229189E+02   0.108737E-06   0.391254E-03  -0.124252E-05
    99   0.267712E+04   0.797578E+00   0.000000E+00  -0.236019E+02   0.108098E-06   0.386452E-03  -0.123355E-05
   100   0.270861E+04   0.812926E+00   0.000000E+00  -0.242860E+02   0.107463E-06   0.381757E-03  -0.122394E-05
   101   0.274032E+04   0.828110E+00   0.000000E+00  -0.249706E+02   0.106830E-06   0.377166E-03  -0.121388E-05
   102   0.277225E+04   0.843107E+00   0.000000E+00  -0.256554E+02   0.106201E-06   0.372675E-03  -0.120354E-05
   103   0.280438E+04   0.857917E+00   0.000000E+00  -0.263395E+02   0.105574E-06   0.368280E-03  -0.119312E-05
   104   0.283671E+04   0.872510E+00   0.000000E+00  -0.270227E+02   0.104952E-06   0.363979E-03  -0.118281E-05
