#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.826083E-03   0.173444E+08   0.173431E+08   0.115151E+07   0.108299E+07   0.171305E+08   0.173434E+08   0.173442E+08   0.173436E+08  -0.462647E+00   0.882694E+07   0.882658E+07   0.148969E+03
   0.912813E-03   0.173226E+08   0.173211E+08   0.963319E+06   0.936014E+06   0.170638E+08   0.173213E+08   0.173224E+08   0.173215E+08  -0.462049E+00   0.881564E+07   0.881526E+07   0.142322E+03
   0.100865E-02   0.172971E+08   0.172955E+08   0.835025E+06   0.834555E+06   0.169847E+08   0.172956E+08   0.172969E+08   0.172958E+08  -0.461355E+00   0.880248E+07   0.880207E+07   0.133808E+03
   0.111455E-02   0.172674E+08   0.172658E+08   0.655247E+06   0.664350E+06   0.168914E+08   0.172657E+08   0.172672E+08   0.172658E+08  -0.460551E+00   0.878718E+07   0.878677E+07   0.123892E+03
   0.123156E-02   0.172330E+08   0.172313E+08   0.421629E+06   0.427236E+06   0.167821E+08   0.172309E+08   0.172327E+08   0.172310E+08  -0.459619E+00   0.876946E+07   0.876904E+07   0.113085E+03
   0.136086E-02   0.171931E+08   0.171914E+08   0.234466E+06   0.231927E+06   0.166550E+08   0.171907E+08   0.171929E+08   0.171907E+08  -0.458542E+00   0.874897E+07   0.874855E+07   0.101907E+03
   0.150374E-02   0.171471E+08   0.171454E+08   0.172605E+06   0.163664E+06   0.165084E+08   0.171443E+08   0.171468E+08   0.171443E+08  -0.457300E+00   0.872533E+07   0.872492E+07   0.909101E+02
   0.166162E-02   0.170942E+08   0.170924E+08   0.172709E+06  -0.178965E+06   0.163407E+08   0.170908E+08   0.170939E+08   0.170909E+08  -0.455871E+00   0.869816E+07   0.869776E+07   0.806787E+02
   0.183607E-02   0.170334E+08   0.170316E+08   0.117651E+06  -0.146045E+06   0.161504E+08   0.170295E+08   0.170331E+08   0.170295E+08  -0.454234E+00   0.866698E+07   0.866658E+07   0.716954E+02
   0.202883E-02   0.169638E+08   0.169620E+08   0.421425E+05  -0.119119E+06   0.159366E+08   0.169594E+08   0.169635E+08   0.169594E+08  -0.452362E+00   0.863132E+07   0.863093E+07   0.641500E+02
   0.224184E-02   0.168845E+08   0.168826E+08   0.382236E+05  -0.971008E+05   0.156987E+08   0.168794E+08   0.168842E+08   0.168794E+08  -0.450227E+00   0.859067E+07   0.859028E+07   0.579096E+02
   0.247721E-02   0.167944E+08   0.167923E+08   0.307630E+05  -0.791009E+05   0.154365E+08   0.167886E+08   0.167941E+08   0.167886E+08  -0.447804E+00   0.854450E+07   0.854411E+07   0.526445E+02
   0.273729E-02   0.166924E+08   0.166902E+08   0.655750E+04  -0.643905E+05   0.151499E+08   0.166858E+08   0.166920E+08   0.166858E+08  -0.445061E+00   0.849226E+07   0.849186E+07   0.479125E+02
   0.302468E-02   0.165773E+08   0.165749E+08   0.147202E+05  -0.523733E+05   0.148388E+08   0.165699E+08   0.165769E+08   0.165699E+08  -0.441969E+00   0.843336E+07   0.843296E+07   0.433712E+02
   0.334223E-02   0.164480E+08   0.164454E+08  -0.560211E+04  -0.425606E+05   0.145026E+08   0.164398E+08   0.164476E+08   0.164398E+08  -0.438497E+00   0.836722E+07   0.836683E+07   0.390074E+02
   0.369313E-02   0.163033E+08   0.163005E+08  -0.459528E+03  -0.345520E+05   0.141400E+08   0.162942E+08   0.163029E+08   0.162942E+08  -0.434613E+00   0.829324E+07   0.829285E+07   0.350316E+02
   0.408087E-02   0.161421E+08   0.161390E+08  -0.784311E+04  -0.280198E+05   0.137503E+08   0.161319E+08   0.161416E+08   0.161319E+08  -0.430285E+00   0.821080E+07   0.821041E+07   0.316235E+02
   0.450932E-02   0.159629E+08   0.159595E+08  -0.771512E+04  -0.226952E+05   0.133327E+08   0.159518E+08   0.159624E+08   0.159518E+08  -0.425480E+00   0.811926E+07   0.811888E+07   0.286531E+02
   0.498275E-02   0.157647E+08   0.157609E+08  -0.160919E+04  -0.183581E+05   0.128872E+08   0.157525E+08   0.157641E+08   0.157525E+08  -0.420165E+00   0.801801E+07   0.801762E+07   0.258839E+02
   0.550589E-02   0.155462E+08   0.155418E+08  -0.213432E+04  -0.148283E+05   0.124135E+08   0.155329E+08   0.155455E+08   0.155329E+08  -0.414305E+00   0.790638E+07   0.790599E+07   0.233386E+02
   0.608395E-02   0.153063E+08   0.153013E+08  -0.470940E+04  -0.119583E+05   0.118876E+08   0.152917E+08   0.153055E+08   0.152917E+08  -0.407873E+00   0.778384E+07   0.778345E+07   0.211352E+02
   0.672270E-02   0.150429E+08   0.150372E+08  -0.372433E+04  -0.962653E+04   0.113445E+08   0.150271E+08   0.150420E+08   0.150271E+08  -0.400816E+00   0.764938E+07   0.764900E+07   0.191570E+02
   0.742851E-02   0.147550E+08   0.147484E+08  -0.375644E+04  -0.773424E+04   0.107729E+08   0.147379E+08   0.147539E+08   0.147379E+08  -0.393100E+00   0.750238E+07   0.750199E+07   0.173613E+02
   0.820842E-02   0.144413E+08   0.144336E+08  -0.253012E+04  -0.620056E+04   0.101819E+08   0.144229E+08   0.144401E+08   0.144229E+08  -0.384699E+00   0.734228E+07   0.734190E+07   0.157920E+02
   0.907022E-02   0.141005E+08   0.140916E+08  -0.297284E+04  -0.495919E+04   0.957523E+07   0.140808E+08   0.140991E+08   0.140808E+08  -0.375575E+00   0.716841E+07   0.716802E+07   0.143766E+02
   0.100225E-01   0.137311E+08   0.137208E+08  -0.222180E+04  -0.395586E+04   0.895095E+07   0.137102E+08   0.137295E+08   0.137102E+08  -0.365690E+00   0.698000E+07   0.697960E+07   0.131404E+02
   0.110747E-01   0.133319E+08   0.133198E+08  -0.229752E+04  -0.314620E+04   0.831271E+07   0.133097E+08   0.133300E+08   0.133097E+08  -0.355007E+00   0.677636E+07   0.677596E+07   0.120311E+02
   0.122375E-01   0.129013E+08   0.128873E+08  -0.153411E+04  -0.249399E+04   0.766724E+07   0.128780E+08   0.128991E+08   0.128780E+08  -0.343492E+00   0.655685E+07   0.655645E+07   0.110610E+02
