#    L    TT             EE             TE             PP             TP          
   121   0.340990E+04   0.107472E+01  -0.378985E+02   0.435858E+07   0.511022E+04
   122   0.344459E+04   0.108319E+01  -0.384618E+02   0.433371E+07   0.505834E+04
   123   0.347934E+04   0.109121E+01  -0.390130E+02   0.430901E+07   0.500729E+04
   124   0.351415E+04   0.109876E+01  -0.395514E+02   0.428447E+07   0.495705E+04
   125   0.354899E+04   0.110584E+01  -0.400766E+02   0.426009E+07   0.490758E+04
   126   0.358386E+04   0.111245E+01  -0.405881E+02   0.423589E+07   0.485888E+04
   127   0.361876E+04   0.111857E+01  -0.410852E+02   0.421184E+07   0.481090E+04
   128   0.365368E+04   0.112420E+01  -0.415674E+02   0.418797E+07   0.476364E+04
   129   0.368860E+04   0.112933E+01  -0.420343E+02   0.416427E+07   0.471705E+04
   130   0.372352E+04   0.113395E+01  -0.424851E+02   0.414073E+07   0.467113E+04
   131   0.375842E+04   0.113805E+01  -0.429195E+02   0.411737E+07   0.462584E+04
   132   0.379331E+04   0.114165E+01  -0.433368E+02   0.409417E+07   0.458117E+04
   133   0.382817E+04   0.114472E+01  -0.437368E+02   0.407114E+07   0.453712E+04
   134   0.386299E+04   0.114727E+01  -0.441187E+02   0.404828E+07   0.449367E+04
   135   0.389776E+04   0.114930E+01  -0.444822E+02   0.402559E+07   0.445082E+04
   136   0.393247E+04   0.115081E+01  -0.448268E+02   0.400306E+07   0.440855E+04
   137   0.396712E+04   0.115179E+01  -0.451519E+02   0.398070E+07   0.436686E+04
   138   0.400169E+04   0.115224E+01  -0.454572E+02   0.395850E+07   0.432573E+04
   139   0.403617E+04   0.115217E+01  -0.457422E+02   0.393646E+07   0.428516E+04
   140   0.407057E+04   0.115157E+01  -0.460065E+02   0.391459E+07   0.424514E+04
   141   0.410485E+04   0.115047E+01  -0.462498E+02   0.389288E+07   0.420566E+04
   142   0.413903E+04   0.114883E+01  -0.464714E+02   0.387133E+07   0.416670E+04
   143   0.417308E+04   0.114668E+01  -0.466712E+02   0.384994E+07   0.412825E+04
   144   0.420700E+04   0.114403E+01  -0.468486E+02   0.382870E+07   0.409032E+04
   145   0.424077E+04   0.114086E+01  -0.470032E+02   0.380763E+07   0.405288E+04
   146   0.427438E+04   0.113719E+01  -0.471346E+02   0.378671E+07   0.401594E+04
   147   0.430780E+04   0.113303E+01  -0.472424E+02   0.376595E+07   0.397947E+04
   148   0.434103E+04   0.112839E+01  -0.473263E+02   0.374535E+07   0.394347E+04
   149   0.437405E+04   0.112326E+01  -0.473857E+02   0.372490E+07   0.390793E+04
   150   0.440685E+04   0.111766E+01  -0.474203E+02   0.370460E+07   0.387284E+04
   151   0.443940E+04   0.111160E+01  -0.474297E+02   0.368446E+07   0.383819E+04
   152   0.447170E+04   0.110508E+01  -0.474136E+02   0.366447E+07   0.380397E+04
   153   0.450375E+04   0.109812E+01  -0.473719E+02   0.364463E+07   0.377018E+04
   154   0.453554E+04   0.109074E+01  -0.473043E+02   0.362494E+07   0.373681E+04
   155   0.456706E+04   0.108294E+01  -0.472106E+02   0.360540E+07   0.370386E+04
   156   0.459833E+04   0.107474E+01  -0.470905E+02   0.358601E+07   0.367131E+04
   157   0.462931E+04   0.106614E+01  -0.469439E+02   0.356677E+07   0.363917E+04
   158   0.466002E+04   0.105718E+01  -0.467705E+02   0.354768E+07   0.360743E+04
   159   0.469045E+04   0.104785E+01  -0.465701E+02   0.352873E+07   0.357607E+04
   160   0.472057E+04   0.103818E+01  -0.463426E+02   0.350993E+07   0.354510E+04
   161   0.475037E+04   0.102818E+01  -0.460877E+02   0.349128E+07   0.351450E+04
   162   0.477985E+04   0.101787E+01  -0.458053E+02   0.347276E+07   0.348428E+04
   163   0.480899E+04   0.100729E+01  -0.454952E+02   0.345440E+07   0.345442E+04
   164   0.483777E+04   0.996428E+00  -0.451573E+02   0.343617E+07   0.342491E+04
   165   0.486619E+04   0.985312E+00  -0.447914E+02   0.341809E+07   0.339576E+04
   166   0.489424E+04   0.973965E+00  -0.443974E+02   0.340014E+07   0.336696E+04
   167   0.492190E+04   0.962411E+00  -0.439752E+02   0.338234E+07   0.333850E+04
   168   0.494918E+04   0.950674E+00  -0.435248E+02   0.336467E+07   0.331037E+04
   169   0.497605E+04   0.938776E+00  -0.430462E+02   0.334715E+07   0.328256E+04
   170   0.500252E+04   0.926734E+00  -0.425394E+02   0.332976E+07   0.325508E+04
   171   0.502857E+04   0.914580E+00  -0.420041E+02   0.331251E+07   0.322791E+04
   172   0.505421E+04   0.902335E+00  -0.414405E+02   0.329539E+07   0.320105E+04
   173   0.507941E+04   0.890024E+00  -0.408486E+02   0.327841E+07   0.317450E+04
   174   0.510416E+04   0.877671E+00  -0.402283E+02   0.326157E+07   0.314823E+04
   175   0.512846E+04   0.865313E+00  -0.395798E+02   0.324486E+07   0.312226E+04
   176   0.515231E+04   0.852966E+00  -0.389031E+02   0.322828E+07   0.309657E+04
   177   0.517569E+04   0.840670E+00  -0.381982E+02   0.321183E+07   0.307116E+04
   178   0.519858E+04   0.828449E+00  -0.374652E+02   0.319551E+07   0.304603E+04
   179   0.522100E+04   0.816325E+00  -0.367042E+02   0.317932E+07   0.302116E+04
   180   0.524292E+04   0.804339E+00  -0.359154E+02   0.316326E+07   0.299655E+04
   181   0.526434E+04   0.792522E+00  -0.350990E+02   0.314733E+07   0.297220E+04
   182   0.528526E+04   0.780904E+00  -0.342552E+02   0.313152E+07   0.294810E+04
   183   0.530567E+04   0.769510E+00  -0.333840E+02   0.311584E+07   0.292425E+04
   184   0.532555E+04   0.758379E+00  -0.324859E+02   0.310028E+07   0.290064E+04
   185   0.534490E+04   0.747550E+00  -0.315607E+02   0.308484E+07   0.287727E+04
   186   0.536372E+04   0.737045E+00  -0.306090E+02   0.306952E+07   0.285413E+04
   187   0.538200E+04   0.726899E+00  -0.296308E+02   0.305432E+07   0.283121E+04
   188   0.539974E+04   0.717152E+00  -0.286264E+02   0.303924E+07   0.280852E+04
   189   0.541691E+04   0.707837E+00  -0.275961E+02   0.302428E+07   0.278604E+04
   190   0.543352E+04   0.698990E+00  -0.265403E+02   0.300943E+07   0.276378E+04
   191   0.544957E+04   0.690645E+00  -0.254592E+02   0.299470E+07   0.274172E+04
   192   0.546503E+04   0.682839E+00  -0.243531E+02   0.298008E+07   0.271985E+04
   193   0.547991E+04   0.675606E+00  -0.232222E+02   0.296558E+07   0.269819E+04
   194   0.549421E+04   0.668983E+00  -0.220671E+02   0.295119E+07   0.267671E+04
   195   0.550791E+04   0.663009E+00  -0.208879E+02   0.293690E+07   0.265542E+04
   196   0.552101E+04   0.657720E+00  -0.196854E+02   0.292273E+07   0.263431E+04
   197   0.553352E+04   0.653155E+00  -0.184597E+02   0.290866E+07   0.261338E+04
   198   0.554544E+04   0.649352E+00  -0.172112E+02   0.289470E+07   0.259261E+04
   199   0.555674E+04   0.646348E+00  -0.159405E+02   0.288084E+07   0.257201E+04
   200   0.556744E+04   0.644180E+00  -0.146480E+02   0.286709E+07   0.255156E+04
   201   0.557752E+04   0.642887E+00  -0.133339E+02   0.285345E+07   0.253128E+04
   202   0.558699E+04   0.642503E+00  -0.119990E+02   0.283990E+07   0.251114E+04
   203   0.559580E+04   0.643063E+00  -0.106436E+02   0.282646E+07   0.249115E+04
   204   0.560399E+04   0.644601E+00  -0.926803E+01   0.281311E+07   0.247132E+04
   205   0.561151E+04   0.647151E+00  -0.787296E+01   0.279987E+07   0.245164E+04
   206   0.561837E+04   0.650747E+00  -0.645875E+01   0.278672E+07   0.243210E+04
   207   0.562457E+04   0.655424E+00  -0.502583E+01   0.277368E+07   0.241271E+04
   208   0.563008E+04   0.661216E+00  -0.357484E+01   0.276073E+07   0.239347E+04
   209   0.563496E+04   0.668157E+00  -0.210635E+01   0.274787E+07   0.237438E+04
   210   0.563917E+04   0.676281E+00  -0.620979E+00   0.273512E+07   0.235542E+04
   211   0.564274E+04   0.685624E+00   0.880699E+00   0.272245E+07   0.233662E+04
   212   0.564566E+04   0.696219E+00   0.239807E+01   0.270989E+07   0.231795E+04
   213   0.564796E+04   0.708100E+00   0.393055E+01   0.269741E+07   0.229943E+04
   214   0.564963E+04   0.721302E+00   0.547753E+01   0.268503E+07   0.228104E+04
   215   0.565067E+04   0.735852E+00   0.703839E+01   0.267274E+07   0.226280E+04
   216   0.565108E+04   0.751795E+00   0.861248E+01   0.266054E+07   0.224469E+04
   217   0.565084E+04   0.769156E+00   0.101992E+02   0.264843E+07   0.222672E+04
   218   0.564997E+04   0.787963E+00   0.117979E+02   0.263641E+07   0.220889E+04
   219   0.564846E+04   0.808259E+00   0.134079E+02   0.262448E+07   0.219119E+04
   220   0.564630E+04   0.830070E+00   0.150286E+02   0.261263E+07   0.217362E+04
   221   0.564349E+04   0.853423E+00   0.166593E+02   0.260088E+07   0.215619E+04
   222   0.564003E+04   0.878362E+00   0.182995E+02   0.258921E+07   0.213889E+04
   223   0.563592E+04   0.904906E+00   0.199483E+02   0.257762E+07   0.212172E+04
   224   0.563118E+04   0.933090E+00   0.216051E+02   0.256612E+07   0.210469E+04
   225   0.562579E+04   0.962933E+00   0.232691E+02   0.255470E+07   0.208777E+04
   226   0.561976E+04   0.994477E+00   0.249398E+02   0.254337E+07   0.207099E+04
   227   0.561310E+04   0.102775E+01   0.266163E+02   0.253211E+07   0.205434E+04
   228   0.560580E+04   0.106277E+01   0.282979E+02   0.252094E+07   0.203781E+04
   229   0.559787E+04   0.109958E+01   0.299839E+02   0.250985E+07   0.202140E+04
   230   0.558931E+04   0.113820E+01   0.316736E+02   0.249884E+07   0.200512E+04
   231   0.558012E+04   0.117864E+01   0.333663E+02   0.248791E+07   0.198896E+04
   232   0.557032E+04   0.122093E+01   0.350612E+02   0.247705E+07   0.197292E+04
   233   0.555989E+04   0.126512E+01   0.367575E+02   0.246628E+07   0.195700E+04
   234   0.554885E+04   0.131121E+01   0.384545E+02   0.245557E+07   0.194120E+04
   235   0.553719E+04   0.135923E+01   0.401514E+02   0.244495E+07   0.192552E+04
   236   0.552492E+04   0.140921E+01   0.418475E+02   0.243440E+07   0.190996E+04
   237   0.551204E+04   0.146115E+01   0.435420E+02   0.242392E+07   0.189451E+04
   238   0.549857E+04   0.151509E+01   0.452341E+02   0.241352E+07   0.187918E+04
   239   0.548450E+04   0.157103E+01   0.469231E+02   0.240319E+07   0.186396E+04
   240   0.546983E+04   0.162901E+01   0.486080E+02   0.239293E+07   0.184886E+04
   241   0.545457E+04   0.168905E+01   0.502883E+02   0.238274E+07   0.183387E+04
   242   0.543874E+04   0.175114E+01   0.519630E+02   0.237262E+07   0.181899E+04
   243   0.542232E+04   0.181533E+01   0.536313E+02   0.236257E+07   0.180421E+04
   244   0.540534E+04   0.188160E+01   0.552927E+02   0.235259E+07   0.178955E+04
   245   0.538779E+04   0.195000E+01   0.569463E+02   0.234268E+07   0.177500E+04
   246   0.536968E+04   0.202051E+01   0.585912E+02   0.233283E+07   0.176055E+04
   247   0.535103E+04   0.209315E+01   0.602269E+02   0.232305E+07   0.174621E+04
   248   0.533183E+04   0.216796E+01   0.618523E+02   0.231333E+07   0.173197E+04
   249   0.531210E+04   0.224491E+01   0.634669E+02   0.230368E+07   0.171784E+04
   250   0.529183E+04   0.232404E+01   0.650698E+02   0.229410E+07   0.170381E+04
   251   0.527104E+04   0.240534E+01   0.666601E+02   0.228457E+07   0.168988E+04
   252   0.524972E+04   0.248881E+01   0.682371E+02   0.227511E+07   0.167605E+04
   253   0.522788E+04   0.257445E+01   0.698001E+02   0.226571E+07   0.166232E+04
   254   0.520553E+04   0.266227E+01   0.713482E+02   0.225637E+07   0.164869E+04
   255   0.518267E+04   0.275226E+01   0.728808E+02   0.224709E+07   0.163516E+04
   256   0.515929E+04   0.284442E+01   0.743971E+02   0.223787E+07   0.162172E+04
   257   0.513542E+04   0.293874E+01   0.758966E+02   0.222871E+07   0.160839E+04
   258   0.511107E+04   0.303522E+01   0.773782E+02   0.221961E+07   0.159514E+04
   259   0.508625E+04   0.313387E+01   0.788424E+02   0.221057E+07   0.158200E+04
   260   0.506098E+04   0.323466E+01   0.802871E+02   0.220159E+07   0.156894E+04
   261   0.503526E+04   0.333759E+01   0.817130E+02   0.219267E+07   0.155598E+04
   262   0.500912E+04   0.344266E+01   0.831188E+02   0.218380E+07   0.154311E+04
