#    L    TT             EE             TE             PP             TP          
  1376   0.845520E+03   0.145212E+02  -0.538610E+02   0.209238E+06   0.442943E+02
  1377   0.846545E+03   0.143467E+02  -0.532702E+02   0.208988E+06   0.442474E+02
  1378   0.847520E+03   0.141747E+02  -0.526680E+02   0.208738E+06   0.441982E+02
  1379   0.848445E+03   0.140050E+02  -0.520547E+02   0.208489E+06   0.441466E+02
  1380   0.849313E+03   0.138378E+02  -0.514305E+02   0.208240E+06   0.440925E+02
  1381   0.850140E+03   0.136731E+02  -0.507957E+02   0.207992E+06   0.440360E+02
  1382   0.850911E+03   0.135109E+02  -0.501506E+02   0.207744E+06   0.439772E+02
  1383   0.851626E+03   0.133514E+02  -0.494953E+02   0.207497E+06   0.439159E+02
  1384   0.852287E+03   0.131944E+02  -0.488302E+02   0.207250E+06   0.438523E+02
  1385   0.852901E+03   0.130403E+02  -0.481557E+02   0.207004E+06   0.437864E+02
  1386   0.853460E+03   0.128890E+02  -0.474723E+02   0.206758E+06   0.437180E+02
  1387   0.853959E+03   0.127405E+02  -0.467800E+02   0.206512E+06   0.436474E+02
  1388   0.854404E+03   0.125950E+02  -0.460794E+02   0.206267E+06   0.435744E+02
  1389   0.854789E+03   0.124525E+02  -0.453708E+02   0.206023E+06   0.434990E+02
  1390   0.855122E+03   0.123131E+02  -0.446545E+02   0.205779E+06   0.434214E+02
  1391   0.855396E+03   0.121768E+02  -0.439310E+02   0.205535E+06   0.433414E+02
  1392   0.855611E+03   0.120437E+02  -0.432004E+02   0.205291E+06   0.432592E+02
  1393   0.855775E+03   0.119139E+02  -0.424632E+02   0.205049E+06   0.431746E+02
  1394   0.855874E+03   0.117873E+02  -0.417196E+02   0.204806E+06   0.430878E+02
  1395   0.855908E+03   0.116640E+02  -0.409702E+02   0.204564E+06   0.429987E+02
  1396   0.855885E+03   0.115441E+02  -0.402150E+02   0.204323E+06   0.429073E+02
  1397   0.855806E+03   0.114277E+02  -0.394546E+02   0.204081E+06   0.428137E+02
  1398   0.855656E+03   0.113147E+02  -0.386891E+02   0.203841E+06   0.427178E+02
  1399   0.855450E+03   0.112053E+02  -0.379192E+02   0.203600E+06   0.426197E+02
  1400   0.855174E+03   0.110995E+02  -0.371453E+02   0.203361E+06   0.425194E+02
  1401   0.854843E+03   0.109972E+02  -0.363676E+02   0.203121E+06   0.424168E+02
  1402   0.854444E+03   0.108987E+02  -0.355863E+02   0.202882E+06   0.423121E+02
  1403   0.853984E+03   0.108038E+02  -0.348019E+02   0.202643E+06   0.422052E+02
  1404   0.853465E+03   0.107125E+02  -0.340144E+02   0.202405E+06   0.420962E+02
  1405   0.852879E+03   0.106250E+02  -0.332240E+02   0.202168E+06   0.419850E+02
  1406   0.852228E+03   0.105412E+02  -0.324311E+02   0.201930E+06   0.418718E+02
  1407   0.851513E+03   0.104610E+02  -0.316358E+02   0.201693E+06   0.417566E+02
  1408   0.850741E+03   0.103845E+02  -0.308383E+02   0.201457E+06   0.416393E+02
  1409   0.849899E+03   0.103118E+02  -0.300389E+02   0.201221E+06   0.415200E+02
  1410   0.849002E+03   0.102427E+02  -0.292378E+02   0.200985E+06   0.413988E+02
  1411   0.848037E+03   0.101773E+02  -0.284353E+02   0.200750E+06   0.412756E+02
  1412   0.847011E+03   0.101157E+02  -0.276316E+02   0.200515E+06   0.411505E+02
  1413   0.845918E+03   0.100578E+02  -0.268269E+02   0.200280E+06   0.410235E+02
  1414   0.844766E+03   0.100037E+02  -0.260217E+02   0.200046E+06   0.408947E+02
  1415   0.843549E+03   0.995322E+01  -0.252161E+02   0.199813E+06   0.407641E+02
  1416   0.842275E+03   0.990653E+01  -0.244106E+02   0.199580E+06   0.406316E+02
  1417   0.840937E+03   0.986355E+01  -0.236052E+02   0.199347E+06   0.404974E+02
  1418   0.839544E+03   0.982431E+01  -0.228005E+02   0.199115E+06   0.403615E+02
  1419   0.838089E+03   0.978883E+01  -0.219965E+02   0.198883E+06   0.402238E+02
  1420   0.836572E+03   0.975704E+01  -0.211936E+02   0.198651E+06   0.400845E+02
  1421   0.834996E+03   0.972898E+01  -0.203922E+02   0.198420E+06   0.399435E+02
  1422   0.833359E+03   0.970465E+01  -0.195924E+02   0.198189E+06   0.398008E+02
  1423   0.831672E+03   0.968393E+01  -0.187945E+02   0.197959E+06   0.396566E+02
  1424   0.829919E+03   0.966698E+01  -0.179988E+02   0.197729E+06   0.395108E+02
  1425   0.828109E+03   0.965369E+01  -0.172055E+02   0.197499E+06   0.393635E+02
  1426   0.826242E+03   0.964405E+01  -0.164152E+02   0.197270E+06   0.392147E+02
  1427   0.824313E+03   0.963803E+01  -0.156278E+02   0.197041E+06   0.390643E+02
  1428   0.822330E+03   0.963563E+01  -0.148437E+02   0.196813E+06   0.389125E+02
  1429   0.820293E+03   0.963681E+01  -0.140634E+02   0.196585E+06   0.387593E+02
  1430   0.818202E+03   0.964158E+01  -0.132870E+02   0.196358E+06   0.386047E+02
  1431   0.816053E+03   0.964996E+01  -0.125149E+02   0.196130E+06   0.384487E+02
  1432   0.813852E+03   0.966189E+01  -0.117473E+02   0.195904E+06   0.382914E+02
  1433   0.811593E+03   0.967733E+01  -0.109846E+02   0.195677E+06   0.381327E+02
  1434   0.809285E+03   0.969621E+01  -0.102270E+02   0.195451E+06   0.379728E+02
  1435   0.806920E+03   0.971862E+01  -0.947489E+01   0.195226E+06   0.378116E+02
  1436   0.804508E+03   0.974445E+01  -0.872855E+01   0.195000E+06   0.376491E+02
  1437   0.802041E+03   0.977362E+01  -0.798836E+01   0.194776E+06   0.374855E+02
  1438   0.799520E+03   0.980624E+01  -0.725446E+01   0.194551E+06   0.373207E+02
  1439   0.796954E+03   0.984225E+01  -0.652733E+01   0.194327E+06   0.371547E+02
  1440   0.794343E+03   0.988153E+01  -0.580713E+01   0.194104E+06   0.369876E+02
  1441   0.791681E+03   0.992408E+01  -0.509426E+01   0.193880E+06   0.368194E+02
  1442   0.788969E+03   0.996985E+01  -0.438893E+01   0.193657E+06   0.366502E+02
  1443   0.786207E+03   0.100188E+02  -0.369148E+01   0.193435E+06   0.364799E+02
  1444   0.783404E+03   0.100709E+02  -0.300230E+01   0.193213E+06   0.363086E+02
  1445   0.780554E+03   0.101262E+02  -0.232153E+01   0.192991E+06   0.361364E+02
  1446   0.777656E+03   0.101845E+02  -0.164951E+01   0.192770E+06   0.359632E+02
  1447   0.774719E+03   0.102459E+02  -0.986682E+00   0.192549E+06   0.357890E+02
  1448   0.771737E+03   0.103102E+02  -0.333150E+00   0.192328E+06   0.356140E+02
  1449   0.768710E+03   0.103775E+02   0.310553E+00   0.192108E+06   0.354381E+02
  1450   0.765647E+03   0.104477E+02   0.944261E+00   0.191888E+06   0.352614E+02
  1451   0.762549E+03   0.105207E+02   0.156762E+01   0.191669E+06   0.350838E+02
  1452   0.759408E+03   0.105965E+02   0.218046E+01   0.191450E+06   0.349054E+02
  1453   0.756225E+03   0.106751E+02   0.278265E+01   0.191231E+06   0.347262E+02
  1454   0.753008E+03   0.107565E+02   0.337405E+01   0.191013E+06   0.345460E+02
  1455   0.749757E+03   0.108405E+02   0.395460E+01   0.190795E+06   0.343650E+02
  1456   0.746472E+03   0.109272E+02   0.452425E+01   0.190577E+06   0.341830E+02
  1457   0.743155E+03   0.110166E+02   0.508278E+01   0.190360E+06   0.340000E+02
  1458   0.739798E+03   0.111084E+02   0.563014E+01   0.190143E+06   0.338160E+02
  1459   0.736409E+03   0.112028E+02   0.616626E+01   0.189927E+06   0.336309E+02
  1460   0.732988E+03   0.112997E+02   0.669093E+01   0.189711E+06   0.334449E+02
  1461   0.729536E+03   0.113990E+02   0.720417E+01   0.189495E+06   0.332577E+02
  1462   0.726053E+03   0.115007E+02   0.770577E+01   0.189280E+06   0.330694E+02
  1463   0.722540E+03   0.116048E+02   0.819566E+01   0.189065E+06   0.328799E+02
  1464   0.718997E+03   0.117111E+02   0.867380E+01   0.188850E+06   0.326893E+02
  1465   0.715424E+03   0.118196E+02   0.914011E+01   0.188636E+06   0.324975E+02
  1466   0.711830E+03   0.119304E+02   0.959431E+01   0.188422E+06   0.323045E+02
  1467   0.708207E+03   0.120432E+02   0.100365E+02   0.188208E+06   0.321102E+02
  1468   0.704563E+03   0.121582E+02   0.104665E+02   0.187995E+06   0.319146E+02
  1469   0.700891E+03   0.122751E+02   0.108841E+02   0.187782E+06   0.317178E+02
  1470   0.697192E+03   0.123940E+02   0.112895E+02   0.187570E+06   0.315195E+02
  1471   0.693480E+03   0.125147E+02   0.116825E+02   0.187358E+06   0.313199E+02
  1472   0.689743E+03   0.126373E+02   0.120629E+02   0.187146E+06   0.311190E+02
  1473   0.685979E+03   0.127616E+02   0.124307E+02   0.186935E+06   0.309166E+02
  1474   0.682204E+03   0.128878E+02   0.127859E+02   0.186724E+06   0.307127E+02
  1475   0.678404E+03   0.130154E+02   0.131283E+02   0.186513E+06   0.305074E+02
  1476   0.674594E+03   0.131447E+02   0.134580E+02   0.186303E+06   0.303005E+02
  1477   0.670766E+03   0.132755E+02   0.137747E+02   0.186093E+06   0.300922E+02
  1478   0.666923E+03   0.134076E+02   0.140786E+02   0.185883E+06   0.298822E+02
  1479   0.663070E+03   0.135412E+02   0.143695E+02   0.185674E+06   0.296707E+02
  1480   0.659202E+03   0.136760E+02   0.146473E+02   0.185465E+06   0.294576E+02
  1481   0.655326E+03   0.138122E+02   0.149121E+02   0.185256E+06   0.292428E+02
  1482   0.651435E+03   0.139493E+02   0.151637E+02   0.185048E+06   0.290264E+02
  1483   0.647537E+03   0.140876E+02   0.154022E+02   0.184840E+06   0.288082E+02
  1484   0.643639E+03   0.142269E+02   0.156275E+02   0.184633E+06   0.285883E+02
  1485   0.639728E+03   0.143671E+02   0.158395E+02   0.184426E+06   0.283667E+02
  1486   0.635819E+03   0.145081E+02   0.160384E+02   0.184219E+06   0.281433E+02
  1487   0.631897E+03   0.146499E+02   0.162239E+02   0.184013E+06   0.279180E+02
  1488   0.627978E+03   0.147924E+02   0.163961E+02   0.183807E+06   0.276910E+02
  1489   0.624061E+03   0.149354E+02   0.165550E+02   0.183601E+06   0.274620E+02
  1490   0.620137E+03   0.150790E+02   0.167006E+02   0.183395E+06   0.272312E+02
  1491   0.616216E+03   0.152229E+02   0.168328E+02   0.183190E+06   0.269985E+02
  1492   0.612298E+03   0.153673E+02   0.169517E+02   0.182986E+06   0.267638E+02
  1493   0.608384E+03   0.155119E+02   0.170572E+02   0.182781E+06   0.265271E+02
  1494   0.604474E+03   0.156566E+02   0.171494E+02   0.182577E+06   0.262884E+02
  1495   0.600571E+03   0.158015E+02   0.172283E+02   0.182374E+06   0.260477E+02
  1496   0.596675E+03   0.159464E+02   0.172938E+02   0.182170E+06   0.258049E+02
  1497   0.592788E+03   0.160911E+02   0.173460E+02   0.181967E+06   0.255600E+02
  1498   0.588911E+03   0.162357E+02   0.173849E+02   0.181764E+06   0.253130E+02
  1499   0.585045E+03   0.163799E+02   0.174106E+02   0.181562E+06   0.250639E+02
  1500   0.581193E+03   0.165239E+02   0.174231E+02   0.181360E+06   0.248126E+02
  1501   0.577354E+03   0.166673E+02   0.174224E+02   0.181158E+06   0.245591E+02
  1502   0.573531E+03   0.168103E+02   0.174086E+02   0.180957E+06   0.243035E+02
  1503   0.569723E+03   0.169528E+02   0.173818E+02   0.180756E+06   0.240460E+02
  1504   0.565930E+03   0.170946E+02   0.173420E+02   0.180556E+06   0.237866E+02
  1505   0.562156E+03   0.172358E+02   0.172893E+02   0.180355E+06   0.235255E+02
  1506   0.558398E+03   0.173763E+02   0.172237E+02   0.180155E+06   0.232628E+02
  1507   0.554657E+03   0.175161E+02   0.171454E+02   0.179956E+06   0.229986E+02
  1508   0.550935E+03   0.176552E+02   0.170544E+02   0.179756E+06   0.227331E+02
  1509   0.547233E+03   0.177934E+02   0.169508E+02   0.179557E+06   0.224662E+02
  1510   0.543549E+03   0.179308E+02   0.168347E+02   0.179359E+06   0.221983E+02
  1511   0.539886E+03   0.180672E+02   0.167062E+02   0.179160E+06   0.219294E+02
  1512   0.536245E+03   0.182027E+02   0.165655E+02   0.178962E+06   0.216595E+02
  1513   0.532626E+03   0.183372E+02   0.164128E+02   0.178764E+06   0.213889E+02
  1514   0.529031E+03   0.184706E+02   0.162480E+02   0.178567E+06   0.211176E+02
  1515   0.525460E+03   0.186029E+02   0.160715E+02   0.178370E+06   0.208458E+02
  1516   0.521914E+03   0.187342E+02   0.158832E+02   0.178173E+06   0.205736E+02
  1517   0.518393E+03   0.188642E+02   0.156833E+02   0.177977E+06   0.203011E+02
  1518   0.514899E+03   0.189929E+02   0.154721E+02   0.177781E+06   0.200284E+02
  1519   0.511432E+03   0.191204E+02   0.152496E+02   0.177585E+06   0.197557E+02
  1520   0.507992E+03   0.192465E+02   0.150159E+02   0.177390E+06   0.194830E+02
  1521   0.504581E+03   0.193712E+02   0.147712E+02   0.177195E+06   0.192105E+02
  1522   0.501198E+03   0.194945E+02   0.145158E+02   0.177000E+06   0.189382E+02
  1523   0.497845E+03   0.196163E+02   0.142497E+02   0.176806E+06   0.186664E+02
  1524   0.494522E+03   0.197365E+02   0.139730E+02   0.176611E+06   0.183952E+02
  1525   0.491229E+03   0.198550E+02   0.136860E+02   0.176418E+06   0.181246E+02
  1526   0.487969E+03   0.199720E+02   0.133889E+02   0.176224E+06   0.178548E+02
  1527   0.484740E+03   0.200873E+02   0.130818E+02   0.176031E+06   0.175858E+02
  1528   0.481544E+03   0.202008E+02   0.127650E+02   0.175838E+06   0.173179E+02
  1529   0.478382E+03   0.203125E+02   0.124386E+02   0.175646E+06   0.170511E+02
  1530   0.475254E+03   0.204223E+02   0.121028E+02   0.175453E+06   0.167856E+02
  1531   0.472160E+03   0.205303E+02   0.117579E+02   0.175261E+06   0.165214E+02
  1532   0.469102E+03   0.206363E+02   0.114039E+02   0.175070E+06   0.162587E+02
  1533   0.466080E+03   0.207402E+02   0.110412E+02   0.174879E+06   0.159976E+02
  1534   0.463094E+03   0.208421E+02   0.106699E+02   0.174688E+06   0.157383E+02
  1535   0.460145E+03   0.209419E+02   0.102903E+02   0.174497E+06   0.154808E+02
  1536   0.457234E+03   0.210395E+02   0.990254E+01   0.174307E+06   0.152252E+02
  1537   0.454360E+03   0.211348E+02   0.950682E+01   0.174117E+06   0.149718E+02
  1538   0.451526E+03   0.212280E+02   0.910341E+01   0.173927E+06   0.147205E+02
  1539   0.448731E+03   0.213187E+02   0.869257E+01   0.173738E+06   0.144716E+02
  1540   0.445976E+03   0.214071E+02   0.827462E+01   0.173549E+06   0.142251E+02
  1541   0.443261E+03   0.214931E+02   0.784965E+01   0.173360E+06   0.139811E+02
  1542   0.440588E+03   0.215766E+02   0.741807E+01   0.173171E+06   0.137399E+02
  1543   0.437956E+03   0.216575E+02   0.698005E+01   0.172983E+06   0.135014E+02
  1544   0.435367E+03   0.217360E+02   0.653592E+01   0.172795E+06   0.132659E+02
  1545   0.432821E+03   0.218118E+02   0.608592E+01   0.172608E+06   0.130334E+02
  1546   0.430318E+03   0.218849E+02   0.563030E+01   0.172421E+06   0.128040E+02
  1547   0.427860E+03   0.219553E+02   0.516932E+01   0.172234E+06   0.125779E+02
  1548   0.425445E+03   0.220230E+02   0.470329E+01   0.172047E+06   0.123552E+02
  1549   0.423075E+03   0.220879E+02   0.423246E+01   0.171861E+06   0.121361E+02
  1550   0.420751E+03   0.221499E+02   0.375708E+01   0.171675E+06   0.119205E+02
  1551   0.418472E+03   0.222090E+02   0.327746E+01   0.171489E+06   0.117087E+02
  1552   0.416238E+03   0.222651E+02   0.279371E+01   0.171304E+06   0.115005E+02
  1553   0.414051E+03   0.223184E+02   0.230611E+01   0.171118E+06   0.112959E+02
  1554   0.411910E+03   0.223688E+02   0.181466E+01   0.170934E+06   0.110949E+02
  1555   0.409814E+03   0.224161E+02   0.131964E+01   0.170749E+06   0.108972E+02
  1556   0.407764E+03   0.224605E+02   0.821137E+00   0.170565E+06   0.107028E+02
  1557   0.405760E+03   0.225020E+02   0.319414E+00   0.170381E+06   0.105118E+02
  1558   0.403802E+03   0.225405E+02  -0.185426E+00   0.170197E+06   0.103238E+02
  1559   0.401891E+03   0.225761E+02  -0.693129E+00   0.170014E+06   0.101390E+02
  1560   0.400026E+03   0.226086E+02  -0.120366E+01   0.169831E+06   0.995713E+01
  1561   0.398206E+03   0.226382E+02  -0.171663E+01   0.169648E+06   0.977820E+01
  1562   0.396433E+03   0.226648E+02  -0.223200E+01   0.169466E+06   0.960209E+01
  1563   0.394706E+03   0.226885E+02  -0.274951E+01   0.169284E+06   0.942872E+01
  1564   0.393025E+03   0.227091E+02  -0.326899E+01   0.169102E+06   0.925802E+01
  1565   0.391390E+03   0.227268E+02  -0.379018E+01   0.168920E+06   0.908990E+01
  1566   0.389802E+03   0.227415E+02  -0.431298E+01   0.168739E+06   0.892427E+01
  1567   0.388258E+03   0.227532E+02  -0.483713E+01   0.168558E+06   0.876105E+01
  1568   0.386760E+03   0.227620E+02  -0.536253E+01   0.168378E+06   0.860016E+01
  1569   0.385309E+03   0.227677E+02  -0.588886E+01   0.168197E+06   0.844152E+01
  1570   0.383901E+03   0.227704E+02  -0.641592E+01   0.168017E+06   0.828503E+01
  1571   0.382541E+03   0.227701E+02  -0.694359E+01   0.167837E+06   0.813062E+01
  1572   0.381224E+03   0.227669E+02  -0.747164E+01   0.167658E+06   0.797820E+01
  1573   0.379952E+03   0.227607E+02  -0.799983E+01   0.167479E+06   0.782769E+01
  1574   0.378725E+03   0.227514E+02  -0.852792E+01   0.167300E+06   0.767901E+01
  1575   0.377543E+03   0.227393E+02  -0.905568E+01   0.167121E+06   0.753206E+01
  1576   0.376404E+03   0.227242E+02  -0.958286E+01   0.166943E+06   0.738678E+01
  1577   0.375310E+03   0.227062E+02  -0.101093E+02   0.166765E+06   0.724307E+01
  1578   0.374260E+03   0.226853E+02  -0.106346E+02   0.166587E+06   0.710085E+01
  1579   0.373254E+03   0.226614E+02  -0.111586E+02   0.166410E+06   0.696004E+01
  1580   0.372291E+03   0.226347E+02  -0.116812E+02   0.166232E+06   0.682055E+01
  1581   0.371371E+03   0.226051E+02  -0.122020E+02   0.166055E+06   0.668230E+01
  1582   0.370495E+03   0.225727E+02  -0.127209E+02   0.165879E+06   0.654520E+01
  1583   0.369660E+03   0.225375E+02  -0.132376E+02   0.165702E+06   0.640918E+01
  1584   0.368868E+03   0.224994E+02  -0.137519E+02   0.165526E+06   0.627415E+01
  1585   0.368116E+03   0.224584E+02  -0.142635E+02   0.165351E+06   0.614002E+01
  1586   0.367407E+03   0.224147E+02  -0.147724E+02   0.165175E+06   0.600671E+01
  1587   0.366738E+03   0.223681E+02  -0.152781E+02   0.165000E+06   0.587414E+01
  1588   0.366109E+03   0.223188E+02  -0.157805E+02   0.164825E+06   0.574223E+01
  1589   0.365519E+03   0.222667E+02  -0.162794E+02   0.164650E+06   0.561088E+01
  1590   0.364970E+03   0.222119E+02  -0.167745E+02   0.164476E+06   0.548003E+01
  1591   0.364459E+03   0.221545E+02  -0.172655E+02   0.164302E+06   0.534957E+01
  1592   0.363986E+03   0.220943E+02  -0.177523E+02   0.164128E+06   0.521944E+01
  1593   0.363552E+03   0.220314E+02  -0.182345E+02   0.163955E+06   0.508954E+01
  1594   0.363155E+03   0.219660E+02  -0.187120E+02   0.163781E+06   0.495979E+01
  1595   0.362795E+03   0.218979E+02  -0.191845E+02   0.163608E+06   0.483011E+01
  1596   0.362470E+03   0.218272E+02  -0.196518E+02   0.163436E+06   0.470041E+01
  1597   0.362182E+03   0.217541E+02  -0.201135E+02   0.163263E+06   0.457062E+01
  1598   0.361929E+03   0.216784E+02  -0.205696E+02   0.163091E+06   0.444064E+01
  1599   0.361710E+03   0.216002E+02  -0.210196E+02   0.162919E+06   0.431040E+01
  1600   0.361525E+03   0.215196E+02  -0.214635E+02   0.162748E+06   0.417981E+01
  1601   0.361374E+03   0.214365E+02  -0.219009E+02   0.162576E+06   0.404880E+01
  1602   0.361255E+03   0.213511E+02  -0.223318E+02   0.162405E+06   0.391741E+01
  1603   0.361169E+03   0.212633E+02  -0.227561E+02   0.162234E+06   0.378566E+01
  1604   0.361114E+03   0.211731E+02  -0.231736E+02   0.162064E+06   0.365361E+01
  1605   0.361092E+03   0.210806E+02  -0.235845E+02   0.161894E+06   0.352129E+01
  1606   0.361100E+03   0.209858E+02  -0.239884E+02   0.161724E+06   0.338875E+01
  1607   0.361139E+03   0.208888E+02  -0.243854E+02   0.161554E+06   0.325603E+01
  1608   0.361207E+03   0.207894E+02  -0.247754E+02   0.161384E+06   0.312317E+01
  1609   0.361306E+03   0.206878E+02  -0.251581E+02   0.161215E+06   0.299022E+01
  1610   0.361433E+03   0.205840E+02  -0.255338E+02   0.161046E+06   0.285721E+01
  1611   0.361589E+03   0.204783E+02  -0.259020E+02   0.160878E+06   0.272419E+01
  1612   0.361774E+03   0.203704E+02  -0.262628E+02   0.160709E+06   0.259120E+01
  1613   0.361986E+03   0.202605E+02  -0.266161E+02   0.160541E+06   0.245829E+01
  1614   0.362225E+03   0.201486E+02  -0.269617E+02   0.160373E+06   0.232549E+01
  1615   0.362490E+03   0.200349E+02  -0.272996E+02   0.160206E+06   0.219284E+01
  1616   0.362781E+03   0.199192E+02  -0.276299E+02   0.160039E+06   0.206040E+01
  1617   0.363098E+03   0.198016E+02  -0.279522E+02   0.159872E+06   0.192820E+01
  1618   0.363439E+03   0.196823E+02  -0.282666E+02   0.159705E+06   0.179628E+01
  1619   0.363804E+03   0.195611E+02  -0.285731E+02   0.159538E+06   0.166469E+01
  1620   0.364193E+03   0.194383E+02  -0.288714E+02   0.159372E+06   0.153347E+01
  1621   0.364604E+03   0.193137E+02  -0.291617E+02   0.159206E+06   0.140265E+01
  1622   0.365037E+03   0.191875E+02  -0.294438E+02   0.159040E+06   0.127230E+01
  1623   0.365491E+03   0.190597E+02  -0.297176E+02   0.158875E+06   0.114243E+01
  1624   0.365965E+03   0.189303E+02  -0.299831E+02   0.158710E+06   0.101310E+01
  1625   0.366460E+03   0.187994E+02  -0.302401E+02   0.158545E+06   0.884357E+00
  1626   0.366974E+03   0.186672E+02  -0.304888E+02   0.158380E+06   0.756232E+00
  1627   0.367506E+03   0.185335E+02  -0.307289E+02   0.158216E+06   0.628770E+00
  1628   0.368056E+03   0.183985E+02  -0.309603E+02   0.158051E+06   0.502015E+00
  1629   0.368622E+03   0.182623E+02  -0.311832E+02   0.157888E+06   0.376008E+00
  1630   0.369205E+03   0.181247E+02  -0.313972E+02   0.157724E+06   0.250792E+00
  1631   0.369803E+03   0.179861E+02  -0.316026E+02   0.157561E+06   0.126408E+00
  1632   0.370416E+03   0.178462E+02  -0.317992E+02   0.157397E+06   0.289991E-02
  1633   0.371042E+03   0.177054E+02  -0.319869E+02   0.157235E+06  -0.119691E+00
  1634   0.371682E+03   0.175635E+02  -0.321657E+02   0.157072E+06  -0.241323E+00
  1635   0.372333E+03   0.174206E+02  -0.323357E+02   0.156910E+06  -0.361953E+00
  1636   0.372995E+03   0.172768E+02  -0.324966E+02   0.156747E+06  -0.481539E+00
  1637   0.373668E+03   0.171322E+02  -0.326486E+02   0.156586E+06  -0.600040E+00
  1638   0.374351E+03   0.169868E+02  -0.327915E+02   0.156424E+06  -0.717411E+00
  1639   0.375042E+03   0.168407E+02  -0.329253E+02   0.156263E+06  -0.833613E+00
  1640   0.375741E+03   0.166940E+02  -0.330501E+02   0.156102E+06  -0.948601E+00
  1641   0.376447E+03   0.165468E+02  -0.331657E+02   0.155941E+06  -0.106233E+01
  1642   0.377159E+03   0.163990E+02  -0.332721E+02   0.155780E+06  -0.117477E+01
  1643   0.377876E+03   0.162508E+02  -0.333694E+02   0.155620E+06  -0.128587E+01
  1644   0.378598E+03   0.161024E+02  -0.334576E+02   0.155460E+06  -0.139558E+01
  1645   0.379323E+03   0.159536E+02  -0.335365E+02   0.155300E+06  -0.150388E+01
  1646   0.380051E+03   0.158045E+02  -0.336062E+02   0.155140E+06  -0.161070E+01
  1647   0.380780E+03   0.156553E+02  -0.336668E+02   0.154981E+06  -0.171602E+01
  1648   0.381509E+03   0.155060E+02  -0.337181E+02   0.154822E+06  -0.181979E+01
  1649   0.382239E+03   0.153566E+02  -0.337602E+02   0.154663E+06  -0.192196E+01
  1650   0.382966E+03   0.152073E+02  -0.337930E+02   0.154505E+06  -0.202250E+01
  1651   0.383692E+03   0.150580E+02  -0.338167E+02   0.154346E+06  -0.212136E+01
  1652   0.384415E+03   0.149090E+02  -0.338312E+02   0.154188E+06  -0.221850E+01
  1653   0.385135E+03   0.147601E+02  -0.338366E+02   0.154030E+06  -0.231387E+01
  1654   0.385852E+03   0.146113E+02  -0.338329E+02   0.153873E+06  -0.240743E+01
  1655   0.386564E+03   0.144628E+02  -0.338201E+02   0.153715E+06  -0.249913E+01
  1656   0.387271E+03   0.143146E+02  -0.337985E+02   0.153558E+06  -0.258892E+01
  1657   0.387975E+03   0.141668E+02  -0.337678E+02   0.153401E+06  -0.267676E+01
  1658   0.388673E+03   0.140192E+02  -0.337282E+02   0.153245E+06  -0.276260E+01
  1659   0.389365E+03   0.138721E+02  -0.336799E+02   0.153088E+06  -0.284641E+01
  1660   0.390051E+03   0.137254E+02  -0.336227E+02   0.152932E+06  -0.292812E+01
  1661   0.390731E+03   0.135791E+02  -0.335570E+02   0.152776E+06  -0.300770E+01
  1662   0.391402E+03   0.134334E+02  -0.334825E+02   0.152621E+06  -0.308510E+01
  1663   0.392067E+03   0.132881E+02  -0.333996E+02   0.152465E+06  -0.316028E+01
  1664   0.392724E+03   0.131435E+02  -0.333082E+02   0.152310E+06  -0.323319E+01
  1665   0.393372E+03   0.129995E+02  -0.332083E+02   0.152155E+06  -0.330378E+01
  1666   0.394011E+03   0.128560E+02  -0.331001E+02   0.152001E+06  -0.337201E+01
  1667   0.394641E+03   0.127134E+02  -0.329838E+02   0.151846E+06  -0.343783E+01
  1668   0.395261E+03   0.125714E+02  -0.328592E+02   0.151692E+06  -0.350120E+01
  1669   0.395870E+03   0.124301E+02  -0.327266E+02   0.151538E+06  -0.356208E+01
  1670   0.396468E+03   0.122897E+02  -0.325860E+02   0.151384E+06  -0.362040E+01
  1671   0.397055E+03   0.121501E+02  -0.324375E+02   0.151231E+06  -0.367614E+01
  1672   0.397630E+03   0.120114E+02  -0.322812E+02   0.151078E+06  -0.372924E+01
  1673   0.398192E+03   0.118735E+02  -0.321174E+02   0.150925E+06  -0.377966E+01
  1674   0.398742E+03   0.117367E+02  -0.319460E+02   0.150772E+06  -0.382736E+01
  1675   0.399278E+03   0.116009E+02  -0.317672E+02   0.150619E+06  -0.387228E+01
  1676   0.399801E+03   0.114662E+02  -0.315812E+02   0.150467E+06  -0.391439E+01
  1677   0.400310E+03   0.113327E+02  -0.313880E+02   0.150315E+06  -0.395363E+01
  1678   0.400805E+03   0.112004E+02  -0.311878E+02   0.150163E+06  -0.398996E+01
  1679   0.401283E+03   0.110692E+02  -0.309808E+02   0.150012E+06  -0.402334E+01
  1680   0.401746E+03   0.109394E+02  -0.307669E+02   0.149860E+06  -0.405372E+01
  1681   0.402195E+03   0.108107E+02  -0.305464E+02   0.149709E+06  -0.408105E+01
  1682   0.402625E+03   0.106835E+02  -0.303195E+02   0.149558E+06  -0.410529E+01
  1683   0.403039E+03   0.105576E+02  -0.300861E+02   0.149408E+06  -0.412639E+01
  1684   0.403435E+03   0.104331E+02  -0.298465E+02   0.149257E+06  -0.414431E+01
  1685   0.403814E+03   0.103101E+02  -0.296009E+02   0.149107E+06  -0.415900E+01
  1686   0.404174E+03   0.101886E+02  -0.293493E+02   0.148957E+06  -0.417042E+01
