#           k/h    P           
   0.350724E-01   0.187082E+05
   0.357809E-01   0.183663E+05
   0.365038E-01   0.180283E+05
   0.372412E-01   0.176949E+05
   0.379935E-01   0.173670E+05
   0.387610E-01   0.170451E+05
   0.395440E-01   0.167297E+05
   0.403429E-01   0.164213E+05
   0.411579E-01   0.161203E+05
   0.419893E-01   0.158277E+05
   0.428375E-01   0.155448E+05
   0.437029E-01   0.152726E+05
   0.445858E-01   0.150122E+05
   0.454865E-01   0.147641E+05
   0.464053E-01   0.145279E+05
   0.473428E-01   0.143029E+05
   0.482992E-01   0.140883E+05
   0.492749E-01   0.138835E+05
   0.502703E-01   0.136877E+05
   0.512858E-01   0.135002E+05
   0.523219E-01   0.133203E+05
   0.533789E-01   0.131472E+05
   0.544572E-01   0.129799E+05
   0.555573E-01   0.128172E+05
   0.566796E-01   0.126581E+05
   0.578246E-01   0.125013E+05
   0.589927E-01   0.123454E+05
   0.601845E-01   0.121889E+05
   0.614003E-01   0.120302E+05
   0.626407E-01   0.118680E+05
   0.639061E-01   0.117008E+05
   0.651971E-01   0.115274E+05
   0.665142E-01   0.113463E+05
   0.678578E-01   0.111557E+05
   0.692287E-01   0.109539E+05
   0.706272E-01   0.107398E+05
   0.720539E-01   0.105131E+05
   0.735095E-01   0.102741E+05
   0.749945E-01   0.100232E+05
   0.765095E-01   0.976199E+04
   0.780551E-01   0.949201E+04
   0.796319E-01   0.921548E+04
   0.812406E-01   0.893497E+04
   0.828817E-01   0.865304E+04
   0.845561E-01   0.837251E+04
   0.862642E-01   0.809605E+04
   0.880068E-01   0.782644E+04
   0.897847E-01   0.756634E+04
   0.915985E-01   0.731810E+04
   0.934489E-01   0.708396E+04
   0.953367E-01   0.686592E+04
   0.972626E-01   0.666555E+04
   0.992274E-01   0.648369E+04
   0.101232E+00   0.632090E+04
   0.103277E+00   0.617675E+04
   0.105363E+00   0.604991E+04
   0.107492E+00   0.593875E+04
   0.109663E+00   0.584045E+04
   0.111879E+00   0.575201E+04
   0.114139E+00   0.566989E+04
   0.116445E+00   0.559030E+04
   0.118797E+00   0.550951E+04
   0.121197E+00   0.542383E+04
   0.123645E+00   0.533005E+04
   0.126143E+00   0.522563E+04
   0.128691E+00   0.510897E+04
   0.131291E+00   0.497980E+04
   0.133943E+00   0.483890E+04
   0.136649E+00   0.468830E+04
   0.139409E+00   0.453078E+04
   0.142226E+00   0.436973E+04
   0.145099E+00   0.420916E+04
   0.148030E+00   0.405326E+04
   0.151020E+00   0.390631E+04
   0.154071E+00   0.377185E+04
   0.157184E+00   0.365203E+04
   0.160359E+00   0.354799E+04
   0.163598E+00   0.345976E+04
   0.166903E+00   0.338517E+04
   0.170275E+00   0.332116E+04
   0.173715E+00   0.326412E+04
   0.177224E+00   0.321014E+04
   0.180804E+00   0.315499E+04
   0.184457E+00   0.309458E+04
   0.188183E+00   0.302596E+04
   0.191985E+00   0.294814E+04
   0.195863E+00   0.286193E+04
   0.199820E+00   0.276956E+04
   0.203856E+00   0.267449E+04
   0.207974E+00   0.258047E+04
   0.212176E+00   0.249117E+04
   0.216462E+00   0.240982E+04
   0.220835E+00   0.233857E+04
   0.225296E+00   0.227788E+04
   0.229847E+00   0.222634E+04
   0.234490E+00   0.218121E+04
   0.239227E+00   0.213910E+04
   0.244060E+00   0.209636E+04
   0.248990E+00   0.205060E+04
   0.254020E+00   0.199970E+04
   0.259152E+00   0.194397E+04
   0.264387E+00   0.188594E+04
   0.269728E+00   0.182780E+04
   0.275177E+00   0.177219E+04
   0.280736E+00   0.172174E+04
   0.286407E+00   0.167769E+04
   0.292193E+00   0.163884E+04
   0.298096E+00   0.160398E+04
   0.304118E+00   0.157075E+04
   0.310261E+00   0.153699E+04
   0.316529E+00   0.150155E+04
   0.322923E+00   0.146368E+04
   0.329447E+00   0.142516E+04
   0.336102E+00   0.138754E+04
   0.342892E+00   0.135249E+04
   0.349819E+00   0.132044E+04
   0.356885E+00   0.129152E+04
   0.364095E+00   0.126464E+04
   0.371450E+00   0.123842E+04
   0.378954E+00   0.121167E+04
   0.386609E+00   0.118441E+04
   0.394419E+00   0.115700E+04
   0.402387E+00   0.113051E+04
   0.410516E+00   0.110557E+04
   0.418809E+00   0.108244E+04
   0.427269E+00   0.106063E+04
   0.435901E+00   0.103941E+04
   0.444706E+00   0.101839E+04
   0.453690E+00   0.997345E+03
   0.462855E+00   0.976608E+03
   0.472206E+00   0.956772E+03
   0.481745E+00   0.937935E+03
   0.491477E+00   0.919920E+03
   0.501405E+00   0.902408E+03
   0.511534E+00   0.885177E+03
   0.521868E+00   0.868206E+03
   0.532411E+00   0.851669E+03
   0.543166E+00   0.835698E+03
   0.554139E+00   0.820369E+03
   0.565333E+00   0.805412E+03
   0.576753E+00   0.790758E+03
   0.588404E+00   0.776379E+03
   0.600291E+00   0.762368E+03
   0.612418E+00   0.748763E+03
   0.624789E+00   0.735489E+03
   0.637411E+00   0.722504E+03
   0.650288E+00   0.709799E+03
   0.663424E+00   0.697366E+03
   0.676826E+00   0.685193E+03
   0.690499E+00   0.673268E+03
   0.704448E+00   0.661577E+03
   0.718679E+00   0.650105E+03
   0.733197E+00   0.638841E+03
   0.748009E+00   0.627773E+03
   0.763119E+00   0.616890E+03
   0.778536E+00   0.606183E+03
   0.794263E+00   0.595642E+03
   0.810308E+00   0.585258E+03
   0.826677E+00   0.575024E+03
   0.843378E+00   0.564931E+03
   0.860415E+00   0.554973E+03
   0.877797E+00   0.545141E+03
   0.895529E+00   0.535430E+03
